DOES STANCE SURVIVE A READOUT THAT RESPECTS TIME?
Representation held fixed, readout varied. 'shuffled' applies the same
readout to frame-shuffled clips, so it matches on dimensionality and on
every feature's marginal distribution but destroys order.

Every score is the mean over 25 independent episode-to-fold
partitions, with its sd. A single partition is not a stable measurement:
holding everything else constant, fold assignment alone moves macro-F1 by
sd 0.010 and range up to 0.06, and sklearn changed its own assignment
between 1.7 and 1.9. Partitions are defined here, not by GroupKFold, so
these numbers do not depend on which sklearn is installed.

'order' is PAIRED: real minus shuffled on each partition separately, then
averaged. Partition noise is shared by both and cancels, so its sd is much
smaller than the sd of either column. t is order / stderr(order).
========================================================================================================
representation readout     dims  macroF1      ±  shuffled      ±   order      ±      t  chance
hubert_L5      basis8      8192    0.431  0.009     0.408  0.012  +0.023  0.016    7.1     nan
hubert_L5      seg4        8192    0.436  0.013     0.443  0.011  -0.007  0.015   -2.3     nan
hubert_L6      meanstd     2048    0.440  0.013         —      —       —      —      —     nan
hubert_L6      basis8      8192    0.437  0.011     0.409  0.011  +0.028  0.016    8.9     nan
hubert_L6      seg4        8192    0.449  0.013     0.448  0.011  +0.001  0.013    0.3     nan
hubert_L7      meanstd     2048    0.431  0.014         —      —       —      —      —     nan
hubert_L7      basis8      8192    0.434  0.011     0.394  0.010  +0.040  0.015   13.0     nan
hubert_L7      seg4        8192    0.451  0.013     0.445  0.009  +0.005  0.015    1.8     nan
hubert_L8      meanstd     2048    0.433  0.013         —      —       —      —      —     nan
hubert_L8      basis8      8192    0.436  0.009     0.401  0.011  +0.035  0.015   11.4     nan
hubert_L8      seg4        8192    0.470  0.012     0.445  0.010  +0.025  0.013    9.7     nan
hubert_L9      meanstd     2048    0.457  0.011         —      —       —      —      —     nan
hubert_L9      basis8      8192    0.448  0.011     0.405  0.010  +0.043  0.014   16.0     nan
hubert_L9      seg4        8192    0.468  0.012     0.461  0.012  +0.008  0.016    2.3     nan
hubert_L10     meanstd     2048    0.457  0.015         —      —       —      —      —     nan
hubert_L10     basis8      8192    0.469  0.013     0.409  0.014  +0.060  0.015   19.4     nan
hubert_L10     seg4        8192    0.474  0.010     0.461  0.012  +0.013  0.012    5.3     nan
hubert_L11     meanstd     2048    0.456  0.011         —      —       —      —      —     nan
hubert_L11     basis8      8192    0.479  0.011     0.410  0.016  +0.069  0.016   21.3     nan
hubert_L11     seg4        8192    0.490  0.010     0.473  0.014  +0.017  0.016    5.3     nan
hubert_L12     meanstd     2048    0.450  0.013         —      —       —      —      —     nan
hubert_L12     basis8      8192    0.479  0.009     0.411  0.012  +0.068  0.014   25.3     nan
hubert_L12     seg4        8192    0.485  0.012     0.460  0.011  +0.024  0.014    8.3     nan
hubert_L13     meanstd     2048    0.468  0.013         —      —       —      —      —     nan
hubert_L13     basis8      8192    0.494  0.011     0.418  0.011  +0.075  0.017   22.3     nan
hubert_L13     seg4        8192    0.505  0.011     0.468  0.011  +0.037  0.016   11.5     nan
hubert_L14     meanstd     2048    0.467  0.014         —      —       —      —      —     nan
hubert_L14     basis8      8192    0.495  0.008     0.417  0.010  +0.078  0.012   32.3     nan
hubert_L14     seg4        8192    0.507  0.010     0.456  0.012  +0.052  0.013   20.7     nan
hubert_L15     meanstd     2048    0.467  0.012         —      —       —      —      —     nan
hubert_L15     basis8      8192    0.499  0.011     0.406  0.012  +0.093  0.017   27.0     nan
hubert_L15     seg4        8192    0.504  0.013     0.465  0.011  +0.038  0.012   15.5     nan
hubert_L16     meanstd     2048    0.480  0.016         —      —       —      —      —     nan
hubert_L16     basis8      8192    0.505  0.012     0.414  0.010  +0.091  0.015   29.6     nan
hubert_L16     seg4        8192    0.506  0.014     0.473  0.014  +0.033  0.017    9.6     nan
hubert_L17     meanstd     2048    0.478  0.012         —      —       —      —      —     nan
hubert_L17     basis8      8192    0.501  0.011     0.419  0.014  +0.082  0.018   22.5     nan
hubert_L17     seg4        8192    0.521  0.014     0.472  0.009  +0.049  0.016   15.3     nan
hubert_L18     meanstd     2048    0.474  0.013         —      —       —      —      —     nan
hubert_L18     basis8      8192    0.514  0.010     0.426  0.011  +0.088  0.015   29.6     nan
hubert_L18     seg4        8192    0.536  0.012     0.480  0.012  +0.056  0.015   18.5     nan
hubert_L19     meanstd     2048    0.491  0.011         —      —       —      —      —     nan
hubert_L19     basis8      8192    0.520  0.012     0.428  0.012  +0.092  0.016   28.1     nan
hubert_L19     seg4        8192    0.535  0.010     0.492  0.011  +0.043  0.015   14.7     nan
hubert_L20     meanstd     2048    0.493  0.009         —      —       —      —      —     nan
hubert_L20     basis8      8192    0.514  0.009     0.426  0.011  +0.087  0.012   35.6     nan
hubert_L20     seg4        8192    0.541  0.011     0.500  0.012  +0.041  0.015   14.1     nan
hubert_L21     meanstd     2048    0.496  0.011         —      —       —      —      —     nan
hubert_L21     basis8      8192    0.508  0.013     0.424  0.011  +0.084  0.016   25.7     nan
hubert_L21     seg4        8192    0.525  0.010     0.503  0.011  +0.021  0.013    7.9     nan
hubert_L22     meanstd     2048    0.474  0.011         —      —       —      —      —     nan
hubert_L22     basis8      8192    0.485  0.012     0.414  0.014  +0.071  0.015   23.4     nan
hubert_L22     seg4        8192    0.517  0.010     0.476  0.010  +0.040  0.012   17.0     nan
hubert_L23     meanstd     2048    0.505  0.013         —      —       —      —      —     nan
hubert_L23     basis8      8192    0.490  0.012     0.404  0.014  +0.086  0.020   21.3     nan
hubert_L23     seg4        8192    0.526  0.014     0.492  0.012  +0.034  0.018    9.4     nan
