rep,readout,dims,f1,f1_sd,shuffled,shuffled_sd,order,order_sd,t,chance,n_partitions,secs
hubert_L0,seg4,8192,0.4115,0.0092,0.4292,0.0123,-0.0177,0.0168,-5.28,,25,30.3
hubert_L1,meanstd,2048,0.4077,0.0151,,,,,,,25,16.8
hubert_L1,basis8,8192,0.3832,0.013,0.37,0.0119,0.0132,0.0175,3.77,,25,18.0
hubert_L1,seg4,8192,0.4311,0.0099,0.4191,0.0141,0.012,0.0151,3.97,,25,25.7
hubert_L2,meanstd,2048,0.4296,0.0126,,,,,,,25,18.9
hubert_L2,basis8,8192,0.4122,0.0131,0.4006,0.0113,0.0116,0.0146,3.96,,25,16.1
hubert_L2,seg4,8192,0.4408,0.0114,0.4421,0.0123,-0.0013,0.0132,-0.49,,25,22.9
hubert_L3,meanstd,2048,0.4079,0.0092,,,,,,,25,14.4
hubert_L3,basis8,8192,0.4248,0.0162,0.4039,0.0121,0.0209,0.0206,5.08,,25,15.5
hubert_L3,seg4,8192,0.43,0.0136,0.431,0.0107,-0.001,0.0163,-0.3,,25,21.6
hubert_L4,meanstd,2048,0.4286,0.0102,,,,,,,25,15.4
hubert_L4,basis8,8192,0.4279,0.0115,0.4033,0.0118,0.0245,0.0171,7.19,,25,16.2
hubert_L4,seg4,8192,0.4222,0.0126,0.432,0.0117,-0.0098,0.0174,-2.8,,25,21.3
hubert_L5,meanstd,2048,0.4323,0.0096,,,,,,,25,13.9
hubert_L5,basis8,8192,0.4307,0.0093,0.408,0.012,0.0227,0.016,7.1,,25,15.9
hubert_L5,seg4,8192,0.4362,0.0128,0.443,0.0109,-0.0068,0.0145,-2.35,,25,21.9
hubert_L6,meanstd,2048,0.4402,0.0127,,,,,,,25,16.9
hubert_L6,basis8,8192,0.4367,0.0114,0.4089,0.0108,0.0279,0.0156,8.94,,25,16.9
hubert_L6,seg4,8192,0.449,0.0132,0.4483,0.0114,0.0007,0.013,0.25,,25,22.1
hubert_L7,meanstd,2048,0.4309,0.0138,,,,,,,25,15.7
hubert_L7,basis8,8192,0.4338,0.0111,0.3937,0.0095,0.0401,0.0154,13.04,,25,16.2
hubert_L7,seg4,8192,0.4507,0.0128,0.4453,0.0092,0.0053,0.0147,1.81,,25,22.2
hubert_L8,meanstd,2048,0.4328,0.0126,,,,,,,25,13.7
hubert_L8,basis8,8192,0.436,0.009,0.4014,0.011,0.0346,0.0152,11.38,,25,15.7
hubert_L8,seg4,8192,0.4696,0.0121,0.4445,0.01,0.0251,0.013,9.68,,25,21.7
hubert_L9,meanstd,2048,0.4569,0.0115,,,,,,,25,16.0
hubert_L9,basis8,8192,0.4481,0.0112,0.4048,0.0104,0.0434,0.0136,15.97,,25,15.8
hubert_L9,seg4,8192,0.4681,0.0118,0.4605,0.0115,0.0076,0.0163,2.33,,25,21.2
hubert_L10,meanstd,2048,0.4567,0.0149,,,,,,,25,15.5
hubert_L10,basis8,8192,0.4691,0.0132,0.4088,0.014,0.0603,0.0155,19.45,,25,16.4
hubert_L10,seg4,8192,0.4738,0.0098,0.4613,0.012,0.0126,0.012,5.26,,25,21.1
hubert_L11,meanstd,2048,0.4559,0.0114,,,,,,,25,19.4
hubert_L11,basis8,8192,0.4792,0.0111,0.4104,0.0155,0.0688,0.0162,21.27,,25,16.5
hubert_L11,seg4,8192,0.4902,0.0101,0.4731,0.0142,0.0171,0.016,5.33,,25,21.5
hubert_L12,meanstd,2048,0.4503,0.0125,,,,,,,25,13.7
hubert_L12,basis8,8192,0.4794,0.0092,0.411,0.0125,0.0685,0.0135,25.27,,25,16.4
hubert_L12,seg4,8192,0.4846,0.0121,0.4605,0.0112,0.0241,0.0145,8.33,,25,21.9
